;1;2;3;4;5;6;7;8;9;10;11;12
1979;0.306;0.13;0.173;0.303;1.038;2.612;3.607;4.307;4.683;4.558;3.679;1.519
1980;0.2;0.066;0.075;0.181;0.73;2.067;3.311;4.047;4.484;4.701;3.692;1.278
1981;0.131;0.05;0.048;0.239;0.916;2.442;3.486;4.016;4.533;4.401;3.969;1.452
1982;0.247;0.134;0.153;0.401;0.988;2.136;3.379;3.884;4.134;4.078;3.969;1.757
1983;0.231;0.06;0.053;0.299;0.687;1.647;3.065;3.886;4.369;4.163;3.014;0.919
1984;0.311;0.148;0.164;0.378;0.811;2.036;3.333;4.03;4.462;4.284;3.693;1.631
1985;0.172;0.029;0.019;0.248;1.053;2.32;3.334;4.04;4.45;4.553;3.915;1.879
1986;0.288;0.164;0.15;0.304;0.948;2.134;2.912;3.353;3.965;3.806;4.029;2.085
1987;0.194;0.078;0.053;0.165;0.721;1.699;2.885;3.773;4.33;4.229;3.165;1.006
1988;0.083;0.039;0.029;0.181;0.794;2.02;3.394;4.342;4.74;4.833;3.6;2.902
1989;0.109;0.061;0.069;0.276;1.249;2.484;3.693;4.639;4.967;4.795;4.383;2.102
1990;0.442;0.264;0.267;0.605;0.945;2.126;3.112;3.933;4.15;3.786;3.954;1.59
1991;0.286;0.103;0.134;0.513;1.225;1.858;2.772;3.776;4.429;4.464;2.855;1.124
1992;0.248;0.103;0.091;0.301;0.974;2.04;3.468;4.638;5.127;5.143;3.927;1.735
1993;0.222;0.101;0.156;0.583;1.38;2.387;3.545;4.434;4.609;4.364;4.021;1.6
1994;0.36;0.216;0.251;0.554;1.306;2.273;3.511;4.302;4.623;4.409;3.771;1.596
1995;0.221;0.107;0.118;0.498;1.483;2.569;3.53;4.111;4.358;4.478;3.639;1.384
1996;0.341;0.062;0.101;0.339;1.412;2.611;3.423;4.016;4.122;4.043;3.669;1.483
1997;0.205;0.064;0.097;0.32;0.875;2.11;3.27;4.081;4.202;4.272;3.435;1.217
1998;0.04;0.01;0.012;0.242;1.035;2.168;3.318;4.076;4.359;4.428;3.638;1.524
1999;0.144;0.074;0.106;0.367;1.195;2.291;3.393;3.92;4.095;4.017;3.571;1.346
2000;0.249;0.135;0.278;0.758;1.754;2.787;3.685;4.192;4.544;4.442;3.286;1.538
2001;0.288;0.108;0.151;0.374;1.1;2.188;2.906;3.665;4.185;4.482;3.458;1.268
2002;0.36;0.156;0.222;0.465;1;1.794;3.091;4.061;4.607;4.589;3.702;1.798
2003;0.31;0.107;0.111;0.437;1.266;2.733;3.874;4.567;5.069;5.066;4.156;2.038
2004;0.251;0.071;0.098;0.399;1.195;2.8;4.112;4.87;5.125;4.828;4.117;1.796
2005;0.145;0.066;0.063;0.242;0.88;2.152;3.135;4.223;4.923;4.897;4.274;1.483
2006;0.141;0.031;0.07;0.355;1.224;2.928;4.015;4.254;4.569;4.67;4.162;1.373
2007;0.257;0.075;0.125;0.488;1.164;2.34;3.407;4.152;4.767;4.669;3.931;1.413
2008;0.399;0.149;0.294;0.713;1.548;2.594;3.395;4.126;4.764;4.872;3.749;2.32
2009;0.384;0.157;0.267;0.826;1.638;2.585;3.438;4.139;4.752;4.631;4.208;2.224
2010;0.267;0.118;0.133;0.33;1.299;2.958;3.966;4.549;4.706;4.781;3.654;1.85
2011;0.344;0.212;0.248;0.489;1.079;2.133;3.019;3.562;4.247;4.281;4.187;1.725
2012;0.554;0.162;0.224;0.655;1.562;2.772;3.725;4.359;4.786;4.668;3.878;2.293
2013;0.354;0.138;0.186;0.563;1.49;2.582;3.509;4.01;4.574;4.596;3.569;1.52
2014;0.498;0.302;0.342;0.727;1.716;2.903;3.831;4.382;4.691;4.585;3.758;1.816
2015;0.514;0.18;0.24;0.802;1.631;2.624;3.583;4.251;4.399;4.311;3.639;1.82
