;1;2;3;4;5;6;7;8;9;10;11;12
1979;0.509;0.241;0.362;0.55;1.664;3.351;4.237;4.894;5.286;5.29;4.45;3.121
1980;0.417;0.144;0.174;0.376;1.295;2.999;4.024;4.716;5.171;5.425;4.556;3.106
1981;0.259;0.086;0.118;0.533;1.519;3.348;4.124;4.801;5.208;5.074;4.978;2.962
1982;0.411;0.216;0.332;0.666;1.539;2.947;3.967;4.418;4.714;4.749;4.684;3.571
1983;0.521;0.127;0.161;0.544;1.126;2.391;3.703;4.387;4.909;4.776;4.009;1.668
1984;0.5;0.27;0.324;0.619;1.3;2.83;3.894;4.619;5.131;4.987;4.56;3.348
1985;0.472;0.055;0.051;0.522;1.745;3.009;3.819;4.633;5.058;5.179;4.762;3.446
1986;0.555;0.253;0.291;0.529;1.394;2.79;3.478;3.958;4.504;4.409;4.883;3.774
1987;0.321;0.168;0.126;0.367;1.171;2.403;3.417;4.299;4.957;4.852;4.097;1.959
1988;0.163;0.062;0.052;0.411;1.425;2.769;4.088;4.921;5.411;5.544;4.516;3.811
1989;0.204;0.083;0.139;0.525;1.944;3.262;4.262;5.196;5.499;5.452;5.381;3.877
1990;0.675;0.394;0.431;0.879;1.386;2.809;3.649;4.518;4.649;4.459;4.878;3.015
1991;0.528;0.177;0.307;0.82;1.723;2.316;3.454;4.369;5.055;5.183;3.658;2.147
1992;0.422;0.194;0.199;0.654;1.439;2.83;4.338;5.354;5.832;6.039;4.703;3.466
1993;0.393;0.177;0.332;0.941;1.926;3.018;4.223;5.065;5.151;4.836;5.134;3.421
1994;0.55;0.307;0.431;0.805;1.883;3.056;4.225;4.898;5.288;5.034;4.456;3.397
1995;0.453;0.148;0.219;0.893;2.076;3.151;4.163;4.574;4.871;5.157;4.625;2.616
1996;0.677;0.131;0.238;0.658;1.916;3.223;3.929;4.597;4.731;4.709;4.627;3.001
1997;0.421;0.137;0.196;0.554;1.414;2.865;3.934;4.61;4.903;4.804;4.342;2.566
1998;0.105;0.017;0.043;0.598;1.52;3.075;3.844;4.614;4.914;5.108;4.506;3.168
1999;0.301;0.133;0.235;0.644;1.725;3.005;4.018;4.449;4.697;4.707;4.559;2.749
2000;0.41;0.27;0.526;1.117;2.416;3.322;4.274;4.734;5.186;5.225;4.026;2.725
2001;0.517;0.205;0.279;0.672;1.756;2.711;3.379;4.24;4.746;5.133;4.247;2.404
2002;0.642;0.301;0.438;0.759;1.371;2.522;3.743;4.661;5.233;5.277;4.529;3.294
2003;0.688;0.19;0.267;0.781;1.978;3.574;4.503;5.197;5.739;5.782;5.067;3.601
2004;0.471;0.165;0.206;0.747;1.917;3.587;4.773;5.457;5.734;5.484;5.12;3.688
2005;0.252;0.107;0.147;0.456;1.531;2.776;3.986;4.867;5.663;5.765;5.262;3.647
2006;0.316;0.048;0.194;0.68;1.872;3.545;4.554;4.853;5.122;5.277;5.101;3.18
2007;0.559;0.158;0.258;0.789;1.685;2.999;4.101;4.802;5.351;5.389;4.843;2.776
2008;0.777;0.259;0.482;1.13;2.125;3.197;4.004;4.678;5.357;5.507;4.412;3.636
2009;0.843;0.283;0.471;1.254;2.248;3.261;3.964;4.831;5.328;5.353;4.97;3.999
2010;0.458;0.214;0.276;0.61;2.138;3.647;4.507;5.003;5.3;5.397;4.427;3.261
2011;0.526;0.316;0.423;0.738;1.561;2.708;3.546;4.005;4.787;4.772;5.114;3.613
2012;1.121;0.271;0.404;1.099;2.068;3.402;4.308;4.919;5.327;5.414;4.559;3.696
2013;0.627;0.268;0.341;0.906;2.016;3.21;3.997;4.574;5.148;5.324;4.421;2.896
2014;0.728;0.522;0.532;1.132;2.372;3.612;4.412;4.96;5.409;5.217;4.378;3.197
2015;1.022;0.348;0.454;1.248;2.119;3.314;4.137;4.843;4.905;4.983;4.463;3.1
